Name,Type,Mean index value,Index value SD,Mean index value (visible),Index value (visible) SD,Area [ha],index_name,source_folder,measurement,altitude_m,CV
Zcarron2maly,Area,0.16035,0.05332,0.16133,0.05248,0.00039,NDRE,"1 01LBZ20,05_L50",1,50,0.332522607
Zcarron2duzy,Area,0.1674,0.06443,0.16873,0.0635,0.00063,NDRE,"1 01LBZ20,05_L50",1,50,0.384886499
Zmor3maly,Area,0.21546,0.05255,0.21542,0.0524,0.00042,NDRE,"1 01LBZ20,05_L50",1,50,0.243896779
Zmor3duzy,Area,0.23162,0.07614,0.23055,0.07474,0.00074,NDRE,"1 01LBZ20,05_L50",1,50,0.328728089
Zmor4maly,Area,0.22015,0.05163,0.22021,0.05154,0.00044,NDRE,"1 01LBZ20,05_L50",1,50,0.234521917
Zmor4duzy,Area,0.22638,0.06766,0.22477,0.06494,0.00069,NDRE,"1 01LBZ20,05_L50",1,50,0.298877993
Zmor5maly,Area,0.2239,0.05372,0.22385,0.05346,0.00047,NDRE,"1 01LBZ20,05_L50",1,50,0.23992854
Zmor5duzy,Area,0.23873,0.07744,0.23549,0.07333,0.00078,NDRE,"1 01LBZ20,05_L50",1,50,0.324383194
Zmor2maly,Area,0.18063,0.04964,0.18118,0.04897,0.0005,NDRE,"1 01LBZ20,05_L50",1,50,0.274815922
Zmor2duzy,Area,0.18765,0.06121,0.18813,0.06069,0.0007,NDRE,"1 01LBZ20,05_L50",1,50,0.326192379
Zample2maly,Area,0.79292,0.08323,0.79094,0.08261,0.00031,NDVI,"1 01LBZ20,05_L50",1,50,0.104966453
Zample2duzy,Area,0.77501,0.101,0.77314,0.1005,0.0005,NDVI,"1 01LBZ20,05_L50",1,50,0.130320899
Zample3maly,Area,0.81229,0.06891,0.80984,0.068,0.00029,NDVI,"1 01LBZ20,05_L50",1,50,0.084834234
Zample3duzy,Area,0.78203,0.09954,0.78,0.09901,0.00053,NDVI,"1 01LBZ20,05_L50",1,50,0.12728412
Zample4maly,Area,0.82692,0.05766,0.82324,0.05619,0.00039,NDVI,"1 01LBZ20,05_L50",1,50,0.069728632
Zample4duzy,Area,0.81058,0.07306,0.80751,0.07206,0.00057,NDVI,"1 01LBZ20,05_L50",1,50,0.090132991
Zample5maly,Area,0.83612,0.05502,0.83045,0.05289,0.00038,NDVI,"1 01LBZ20,05_L50",1,50,0.065803952
Zample5duzy,Area,0.82538,0.06454,0.82066,0.06308,0.00072,NDVI,"1 01LBZ20,05_L50",1,50,0.078194286
Zprze2maly,Area,0.77975,0.09738,0.77772,0.09683,0.00024,NDVI,"1 01LBZ20,05_L50",1,50,0.124886181
Zprze2duzy,Area,0.74679,0.11592,0.7453,0.11542,0.00039,NDVI,"1 01LBZ20,05_L50",1,50,0.15522436
Zprze3maly,Area,0.79767,0.07303,0.79536,0.07203,0.00031,NDVI,"1 01LBZ20,05_L50",1,50,0.091554151
Zprze3duzy,Area,0.77542,0.08865,0.77373,0.08795,0.00049,NDVI,"1 01LBZ20,05_L50",1,50,0.11432514
Zprze4maly,Area,0.81146,0.07409,0.8068,0.07269,0.00031,NDVI,"1 01LBZ20,05_L50",1,50,0.091304562
Zprze4duzy,Area,0.78536,0.09179,0.78162,0.09061,0.0005,NDVI,"1 01LBZ20,05_L50",1,50,0.116876337
Zprze5maly,Area,0.82294,0.05851,0.81894,0.05677,0.00037,NDVI,"1 01LBZ20,05_L50",1,50,0.071098744
Zprze5duzy,Area,0.80226,0.07172,0.7992,0.07041,0.00062,NDVI,"1 01LBZ20,05_L50",1,50,0.089397452
Zcarron3maly,Area,0.80811,0.06441,0.80687,0.06385,0.0004,NDVI,"1 01LBZ20,05_L50",1,50,0.079704496
Zcarron3duzy,Area,0.79934,0.07006,0.79821,0.06957,0.00062,NDVI,"1 01LBZ20,05_L50",1,50,0.087647309
Zcarron4maly,Area,0.8114,0.06559,0.80996,0.06504,0.00037,NDVI,"1 01LBZ20,05_L50",1,50,0.080835593
Zcarron4duzy,Area,0.80149,0.06391,0.80063,0.06347,0.00072,NDVI,"1 01LBZ20,05_L50",1,50,0.079738986
Zcarron5maly,Area,0.82274,0.06014,0.82083,0.05946,0.00042,NDVI,"1 01LBZ20,05_L50",1,50,0.073097212
Zcarron5duzy,Area,0.81312,0.05941,0.81166,0.05871,0.00075,NDVI,"1 01LBZ20,05_L50",1,50,0.073064246
Zcarron2maly,Area,0.74865,0.09347,0.74844,0.09336,0.00039,NDVI,"1 01LBZ20,05_L50",1,50,0.124851399
Zcarron2duzy,Area,0.72409,0.10914,0.72394,0.10906,0.00063,NDVI,"1 01LBZ20,05_L50",1,50,0.15072712
Zmor3maly,Area,0.82191,0.07189,0.81885,0.07126,0.00042,NDVI,"1 01LBZ20,05_L50",1,50,0.087466998
Zmor3duzy,Area,0.81275,0.07242,0.8101,0.07165,0.00074,NDVI,"1 01LBZ20,05_L50",1,50,0.089104891
Zmor4maly,Area,0.81653,0.07244,0.81308,0.07151,0.00044,NDVI,"1 01LBZ20,05_L50",1,50,0.088716887
Zmor4duzy,Area,0.80663,0.07233,0.80426,0.07145,0.00069,NDVI,"1 01LBZ20,05_L50",1,50,0.089669365
Zmor5maly,Area,0.81348,0.07054,0.81193,0.06746,0.00047,NDVI,"1 01LBZ20,05_L50",1,50,0.086713871
Zmor5duzy,Area,0.81171,0.06438,0.81051,0.06222,0.00078,NDVI,"1 01LBZ20,05_L50",1,50,0.079314041
Zmor2maly,Area,0.73846,0.12205,0.73839,0.12127,0.0005,NDVI,"1 01LBZ20,05_L50",1,50,0.165276386
Zmor2duzy,Area,0.71684,0.13048,0.71679,0.12986,0.0007,NDVI,"1 01LBZ20,05_L50",1,50,0.182021093
Zample2maly,Area,0.55908,0.08749,0.55772,0.0871,0.00031,OSAVI,"1 01LBZ20,05_L50",1,50,0.156489232
Zample2duzy,Area,0.53113,0.11637,0.52865,0.11583,0.0005,OSAVI,"1 01LBZ20,05_L50",1,50,0.219098902
Zample3maly,Area,0.59168,0.06994,0.58809,0.06919,0.00029,OSAVI,"1 01LBZ20,05_L50",1,50,0.118205787
Zample3duzy,Area,0.54535,0.11817,0.54024,0.11756,0.00053,OSAVI,"1 01LBZ20,05_L50",1,50,0.216686532
Zample4maly,Area,0.6104,0.05954,0.60226,0.05798,0.00039,OSAVI,"1 01LBZ20,05_L50",1,50,0.097542595
Zample4duzy,Area,0.56706,0.10894,0.55701,0.10835,0.00057,OSAVI,"1 01LBZ20,05_L50",1,50,0.192113709
Zample5maly,Area,0.61609,0.06036,0.6011,0.05726,0.00038,OSAVI,"1 01LBZ20,05_L50",1,50,0.097972699
Zample5duzy,Area,0.54605,0.13608,0.52376,0.1344,0.00072,OSAVI,"1 01LBZ20,05_L50",1,50,0.249207948
